pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.13,14.955,1.4,1477.3,392.7,103.56,0.76042,228.38,43,3,2000,23936,21759,21548,21335,21297,21334,21240,21535,21415,21270,21065,21107,20915,21148,20525,20566,20554,20377,20257,20074,19972,19834,19607,19373,19101,18430,17869,17003,15580,13284,9302.9,4567.9,1752.8,3062.6,6798.2,10140,12587,14485,15887,17005,17580,18076,18559,18821,19199,19507,19695,19401,19776,19726,19672,19927,19974,20069,19986,20101,20061,20022,19988,20068,19856,19598,19281,19395,19300,19674,19663,20059,19745,20002,19938,20102,19883,19867,19853,19841,19869,19937,20014,20223,20419,20420,20733,20670,20755,20714,20772,20894,20931,20898
7.27,14.818,1.4,1546.6,331.22,104.85,0.91508,274.83,43,3,2000,26270,23990,23665,23843,23431,23662,23507,23463,23415,23411,23252,23456,23331,23247,22613,22586,22794,22656,22405,22255,21832,21855,21909,21858,21047,20423,19876,19016,17539,15561,12294,7779.5,3114.4,1493.7,3852.9,7672.8,11335,14238,16130,17496,18592,19245,19898,20351,20855,20721,20991,21137,21017,21196,21347,21392,21266,21321,21278,21474,21251,21487,21024,21019,21074,20928,20608,20722,20510,20392,20611,20907,21249,21399,21492,21688,21866,21951,22170,22272,22046,22249,22215,22579,22667,22499,22509,22645,22663,22968,22901,22981,22900,23080
6.27,14.97,0.86,952.63,341.55,97.48,0.90221,270.96,43,3,2000,26202,24858,24794,24711,24809,24877,24677,24938,24825,24411,24470,24718,24219,24315,23999,23914,23782,23824,23655,23464,23120,23154,22909,22900,22698,21883,21635,20794,19667,18043,14972,10099,4328.2,2257.6,6192.2,11304,14901,16849,18799,20374,21136,21282,21799,21961,22589,22638,22890,23033,23161,23085,23146,23331,23298,23521,23523,23281,23323,23302,23508,23250,23483,23301,23404,23347,23466,23444,23242,23232,23707,23776,23575,23702,23432,23569,23611,23494,23500,23504,23437,23667,23895,24007,23849,24025,23934,24096,24180,24208,24171,24278
6.39,14.946,0.86,945.6,340.32,96.561,0.81422,244.54,43,3,2000,24477,23330,22968,22962,23045,23076,23156,23208,22944,22847,22803,22776,22738,22791,22460,22560,22105,22057,22277,22055,21898,21697,21420,21326,20968,20688,20063,19553,18024,16200,12625,7301.8,2965.9,3932.7,8110.3,12303,15113,16945,18660,19288,19833,20288,20677,21016,21392,21577,21609,21780,21677,21674,21903,21911,21960,21945,22164,22011,22102,22100,22112,21999,21919,21865,21874,21872,21701,22085,21967,22032,22293,22222,22071,22325,22010,22036,21944,21793,21883,21820,22099,22220,22374,22541,22426,22381,22404,22529,22449,22658,22699,22560
6.56,14.955,0.86,982.3,353.54,94.547,0.48467,145.56,43,3,2000,21421,20572,20280,20206,20094,20282,20164,20270,20303,20240,20086,19819,20000,20065,19719,19728,19478,19423,19302,19030,18763,18649,18507,18092,17644,17341,16259,15005,12227,8270.3,3387.3,2404.9,5626.4,9585.4,12466,14607,16206,16701,17178,17562,17950,18357,18715,18655,19262,19079,19125,19172,19376,19319,19186,19150,19032,19303,19243,19222,19405,19161,19180,19255,19216,19118,19388,19228,19248,19481,19645,19237,19524,19327,19644,19259,19186,19261,18900,19038,19509,19417,19570,19652,19618,19747,19768,19959,19821,19892,19912,19819,20117,19941
6.72,14.881,0.86,924.66,316.04,106.69,0.48435,145.47,43,3,2000,23694,22770,22511,22354,22399,22480,22385,22392,22482,22179,22058,22265,22206,22207,21779,21452,21465,21428,21257,20994,20827,20595,20509,19921,19368,18567,17632,15784,12769,8098.8,3571.3,2287.3,5564.7,9964.9,12812,15221,17017,18092,18782,19228,19593,19982,20364,20818,20752,20989,20975,21073,21118,21173,20940,21129,21133,21004,21053,21134,20948,20958,20859,20728,20333,20735,20822,20974,21244,21298,21074,21309,21456,21262,21171,21244,21126,21123,21124,21366,21250,21511,21627,21495,21666,21718,21751,21855,21886,22092,21818,22064,22099,22019
6.82,14.851,0.86,959.05,306.72,110.23,0.55649,167.13,43,3,2000,26320,24956,24707,24741,24568,24876,24587,24754,24491,24442,24435,24737,24589,24418,23790,23762,23667,23500,23184,23085,22797,22793,22396,21927,21446,20706,19692,17638,15066,10615,4904.3,1774.7,3930.1,8830.5,12809,15696,17620,19142,20348,20784,21373,21807,22277,22573,22660,22908,22833,22962,22874,23016,23076,22966,23311,23178,22890,22808,22930,23075,22527,22663,22529,22629,22384,22948,23000,22937,23186,23327,23291,23221,23044,23383,23432,23393,23455,23431,23439,23625,23552,23612,23831,23913,23926,24050,24056,24135,24186,24274,24203,24127
7.02,14.888,0.86,874.54,294.46,97.731,0.34091,102.39,43,3,2000,20501,19513,19503,19406,19373,19436,19360,19304,19354,19422,19050,19116,19241,19038,18727,18677,18636,18469,18345,18214,18063,17845,17467,17051,16584,15875,14716,12334,8996.6,4215,1764.6,3945.5,7847.6,11004,13313,14502,15665,16362,16854,17279,17576,17545,17955,17895,18079,18332,18068,18100,18348,18144,18010,18042,18156,18228,17974,17940,17682,17687,17620,17679,17810,17953,18215,18239,18358,18399,18566,18335,18366,18534,18596,18762,18722,18633,18766,18576,18782,18664,18837,18771,18723,18984,18834,18802,19044,18887,19282,19008,19007,19212
7.13,14.849,0.86,945.2,280.55,104.49,0.25223,75.752,43,3,2000,22445,21574,21374,21378,21255,21380,21381,21283,21503,21320,21291,21157,21258,21138,20661,20661,20352,20305,20079,19911,19818,19499,18840,18333,17653,16317,14333,11004,6627.8,2790.3,2409.3,5622.6,9815.4,12555,14657,16293,17102,17799,18414,18793,19189,19342,19533,19642,19552,19860,19893,19727,19794,19665,19776,19722,19700,19667,19401,19427,19323,19321,19346,19403,19474,19672,19665,19904,19912,20264,20429,20161,20482,20322,20320,20441,20436,20478,20608,20402,20770,20502,20815,20917,20844,20872,20819,20901,20711,20981,20914,20930,21013,21163
7.29,14.758,0.86,941.89,257.41,114.26,0.24745,74.317,43,3,2000,25563,24502,24308,24271,23990,24295,24112,24028,24237,23803,23968,23840,24046,23800,23220,23242,23106,22769,22629,22470,22100,21695,21145,20571,19322,17869,15366,11652,6656.2,2809,2577.8,6263.2,10617,13822,16381,18036,19243,20080,20765,20875,21580,21627,21757,21864,22251,22291,21984,22180,22113,22081,21947,22140,22210,22024,21824,21923,21716,21992,21853,21964,22004,22289,22526,22536,22663,22890,22885,22971,22984,23065,22992,23265,23178,23354,23360,23384,23334,23215,23431,23441,23590,23539,23617,23474,23672,23735,23658,23714,23777,23756
