pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.16,9.8922,3.4,3729,569.04,101.41,0.73694,221.33,34,0.5,4000,21440,19498,19249,19232,19240,19159,19193,19282,19227,19090,19018,19106,19122,19046,18970,19092,19339,19046,19144,19188,19106,19267,19089,19108,19168,19133,19002,17981,15307,18097,18835,18913,18913,19143,19269,19136,19203,19185,19162,19085,19318,19186,19167,19029,18928,19172,19107,19272,18995,19220,18960,19121,19198,19167,19330,19175,18977,19072,19141,19236,19316,19179,19235,19047,19300,19091,19215,19165,19042,18886,19122,19043,19139,19114,19041,19185,19028,19250,19138,19181,19008,19041,18996,19032,19163,19076
7.27,9.9463,3.4,3741.3,549.11,101.79,0.88798,266.69,34,0.5,4000,24171,22307,21887,21755,21748,21734,21697,21670,21690,21715,21761,21620,21681,21557,21708,21716,21750,21760,21454,21856,21638,21791,21671,21778,21633,21577,21328,21037,17904,19680,21131,21409,21676,21815,21724,21740,21719,21791,21692,21500,21889,21869,21698,21607,21543,21657,21694,21882,21801,21848,21435,21672,21672,21841,21525,21696,21589,21606,21753,21611,21669,21650,21646,21626,21689,21596,21685,21644,21650,21544,21478,21711,21656,21877,21783,21587,21588,21673,21612,21638,21749,21597,21698,21735,21617,21550
6.24,9.9701,1.6,1211.3,429.59,95.866,0.84097,252.57,34,0.5,4000,25306,24705,24601,24669,24737,24608,24669,24638,24718,24617,24662,24703,24717,24527,24454,24641,24673,24653,24570,24630,24539,24636,24623,24675,24691,24583,24403,23699,19982,24465,24590,24656,24494,24528,24656,24628,24688,24637,24683,24572,24769,24705,24681,24688,24710,24744,24671,24797,24809,24765,24726,24568,24656,24414,24795,24678,24720,24528,24591,24581,24935,24682,24649,24525,24507,24641,24771,24866,24524,24799,24653,24608,24694,24696,24627,24624,24683,24506,24625,24729,24727,24658,24657,24521,24532,24740
6.41,9.9641,1.6,1156.1,431.44,89.549,0.71934,216.04,34,0.5,4000,22920,22717,22720,22705,22511,22597,22639,22453,22593,22624,22726,22677,22776,22659,22662,22524,22668,22663,22627,22590,22804,22728,22662,22732,22599,22561,22294,20795,19493,22503,22524,22788,22791,22722,22573,22472,22530,22629,22669,22685,22700,22660,22508,22639,22770,22658,22744,22577,22676,22762,22718,22670,22826,22577,22504,22646,22596,22647,22526,22681,22635,22706,22673,22742,22574,22627,22630,22542,22607,22617,22844,22583,22525,22341,22570,22501,22589,22729,22561,22444,22531,22551,22690,22687,22597,22612
6.56,9.9592,1.6,1124.4,446.11,84.559,0.53444,160.51,34,0.5,4000,19466,19176,18993,19204,19032,19310,19093,19122,19273,19020,19202,19231,19130,19383,19263,19233,19244,19140,19156,19148,19088,19186,19205,19020,19026,18914,18320,16441,18878,19043,19021,19147,19073,19213,19057,19208,19156,19106,19190,19175,19168,19036,19215,19272,19130,19227,19120,19063,19173,19088,19072,19114,19123,19084,19074,19094,19028,19082,19159,19187,19092,19285,19181,19080,18965,18944,19112,18973,19261,19209,19137,19098,19231,19141,19149,19167,19048,19224,18981,18949,19017,18969,19078,19045,19088,19028
6.71,9.9602,1.6,1165.7,396.7,105.06,0.37112,111.46,34,0.5,4000,22601,22175,22264,22113,22270,22376,22340,22325,22370,22260,22223,22338,22328,22276,22141,22321,22174,22242,22299,22184,22141,22376,22258,22197,21909,20882,18653,21944,22160,22352,22356,22126,22151,22248,22207,22372,22198,22318,22255,22193,22221,22223,22408,22247,22211,22193,22302,22314,22251,22143,22373,22257,22210,22439,22364,22176,22131,22223,22255,22390,22268,22358,22226,22180,22286,22043,22379,22268,22325,22135,22270,22305,22270,22323,22288,22081,22184,22178,22230,22215,22261,22107,22331,22165,22328,22158
6.87,9.9354,1.6,1189.6,371.44,111.89,0.49496,148.65,34,0.5,4000,25952,25422,25502,25609,25470,25533,25513,25457,25532,25691,25584,25598,25343,25259,25635,25536,25450,25471,25444,25409,25481,25653,25519,25437,25506,24751,22556,23938,25509,25489,25493,25511,25465,25409,25517,25500,25515,25384,25542,25418,25669,25506,25481,25585,25486,25447,25514,25655,25544,25490,25449,25449,25444,25512,25543,25459,25484,25454,25566,25561,25442,25462,25507,25458,25420,25433,25558,25398,25553,25461,25360,25524,25570,25547,25544,25567,25364,25484,25477,25548,25479,25549,25361,25446,25560,25428
7,9.8912,1.6,1151.2,381.79,107.81,0.4308,129.39,34,0.5,4000,26331,25894,25724,25685,25928,25978,25767,25853,25643,25876,25963,25940,25730,25816,26014,25877,25824,25878,25868,25878,25825,25945,26073,25744,25817,24957,21073,25267,25858,25946,25872,25905,25754,25989,25867,25806,25953,25873,25759,25680,25928,25837,25904,25666,25720,25781,25893,26000,25804,25926,25909,25787,25697,25805,25783,25945,25783,25795,25815,25895,25755,25833,25841,25925,25803,25913,25836,25945,26011,25734,25741,25827,25848,25936,26048,25815,25693,25717,25819,25976,25807,26008,25916,25863,25822,25869
7.14,9.988,1.6,1141.7,399.07,98.656,0.41487,124.6,34,0.5,4000,23774,23380,23141,23273,23301,23389,23245,23126,23400,23181,23357,23417,23385,23333,23310,23339,23325,23354,23285,23341,23336,23264,23284,23283,23221,22282,18443,23129,23224,23335,23156,23374,23318,23297,23201,23384,23456,23397,23369,23284,23322,23213,23220,23299,23101,23452,23253,23482,23479,23359,23354,23291,23257,23209,23183,23139,23377,23291,23225,23318,23248,23311,23282,23295,23360,23392,23257,23181,23357,23351,23325,23278,23319,23078,23218,23272,23262,23348,23211,23160,23341,23265,23350,23155,23270,23280
